41,100
29,100
18,100
101,100
20,100
21,100
43,100
29,100
17,100
42,100
31,100
24,100
76,100
29,100
28,100
22,100
21,100
32,100
138,100
33,100
67,100
32,100
31,100
20,100
34,100
43,100
20,100
21,100
34,100
26,100
25,100
41,100
25,100
39,100
27,100
34,100
34,100
116,100
24,100
17,100
34,100
50,100
22,100
29,100
24,100
34,100
26,100
50,100
27,100
24,100
29,100
24,100
37,100
39,100
33,100
43,100
53,100
62,100
28,100
114,100
37,100
32,100
31,100
53,100
30,100
32,100
36,100
27,100
28,100
32,100
34,100
24,100
32,100
26,100
31,100
31,100
47,100
19,100
34,100
38,100
30,100
47,100
105,100
20,100
34,100
35,100
31,100
25,100
31,100
24,100
25,100
31,100
27,100
26,100
31,100
26,100
24,100
38,100
24,100
39,100
32,100
49,100
51,100
25,100
23,100
39,100
18,100
23,100
42,100
32,100
