0,3
1,65
3,84
2,114
1,60
0,30
3,154
1,78
2,53
3,65
4,64
6,137
0,17
0,122
3,58
3,52
0,123
0,82
2,112
0,106
0,163
0,54
1,44
2,81
0,89
1,87
5,105
0,52
1,119
1,162
1,98
8,107
3,45
10,126
3,122
0,87
0,49
0,90
0,34
1,8
1,146
0,55
2,86
1,78
0,47
1,73
0,55
1,28
1,32
0,49
0,90
0,58
0,114
3,84
0,110
4,85
1,84
0,59
1,82
4,101
3,65
5,115
2,34
4,185
1,97
1,103
5,126
1,46
1,39
4,38
0,82
0,127
1,73
1,76
0,65
3,112
5,85
1,60
0,39
0,42
0,32
0,53
4,78
0,57
0,31
2,78
4,133
2,79
2,78
0,126
1,62
0,67
2,76
6,124
3,59
0,86
0,30
1,146
3,99
7,116
0,61
0,60
4,130
3,111
2,129
3,84
4,85
2,128
1,128
3,142
0,87
1,104
0,48
2,90
0,130
1,142
0,73
0,49
3,73
0,63
0,71
2,78
5,94
0,46
0,64
0,63
1,63
2,167
1,79
1,66
0,110
0,123
2,119
2,77
0,131
0,17
0,145
0,34
2,163
0,66
0,50
0,78
0,34
0,96
0,119
0,18
